46, 112, 48, 124, 59, 107, 60, 119
48, 124, 50, 135, 60, 119, 62, 131
50, 135, 54, 146, 62, 131, 64, 143
54, 146, 59, 157, 64, 143, 68, 154
59, 157, 67, 166, 68, 154, 75, 164
67, 166, 76, 175, 75, 164, 83, 173
76, 175, 86, 180, 83, 173, 93, 179
86, 180, 98, 180, 93, 179, 104, 180
98, 180, 109, 177, 104, 180, 114, 177
109, 177, 119, 169, 114, 177, 122, 170
119, 169, 127, 158, 122, 170, 129, 160
127, 158, 134, 146, 129, 160, 134, 150
134, 146, 137, 133, 134, 150, 138, 140
137, 133, 137, 119, 138, 140, 139, 129
137, 119, 135, 106, 139, 129, 140, 118
135, 106, 132, 93, 140, 118, 139, 107
132, 93, 46, 102, 139, 107, 65, 98
46, 102, 49, 95, 65, 98, 71, 91
49, 95, 56, 92, 71, 91, 80, 90
56, 92, 64, 91, 80, 90, 90, 91
64, 91, 71, 93, 90, 91, 98, 95
71, 93, 84, 90, 98, 95, 107, 94
84, 90, 92, 85, 107, 94, 114, 91
92, 85, 101, 82, 114, 91, 122, 90
101, 82, 110, 82, 122, 90, 130, 91
110, 82, 119, 86, 130, 91, 134, 96
119, 86, 79, 101, 134, 96, 103, 104
79, 101, 80, 108, 103, 104, 104, 111
80, 108, 81, 116, 104, 111, 104, 119
81, 116, 82, 124, 104, 119, 105, 126
82, 124, 76, 135, 105, 126, 95, 135
76, 135, 81, 135, 95, 135, 100, 135
81, 135, 85, 135, 100, 135, 104, 136
85, 135, 90, 133, 104, 136, 108, 135
90, 133, 95, 131, 108, 135, 112, 134
95, 131, 55, 109, 112, 134, 74, 106
55, 109, 59, 106, 74, 106, 79, 103
59, 106, 65, 105, 79, 103, 85, 103
65, 105, 71, 106, 85, 103, 91, 107
71, 106, 65, 108, 91, 107, 85, 108
65, 108, 60, 110, 85, 108, 79, 108
60, 110, 94, 101, 79, 108, 112, 107
94, 101, 99, 97, 112, 107, 117, 103
99, 97, 105, 96, 117, 103, 123, 103
105, 96, 111, 97, 123, 103, 127, 105
111, 97, 106, 100, 127, 105, 123, 108
106, 100, 101, 101, 123, 108, 118, 108
101, 101, 71, 150, 118, 108, 84, 150
71, 150, 78, 149, 84, 150, 91, 146
78, 149, 84, 147, 91, 146, 98, 143
84, 147, 89, 147, 98, 143, 103, 145
89, 147, 94, 145, 103, 145, 108, 143
94, 145, 104, 144, 108, 143, 114, 146
104, 144, 114, 142, 114, 146, 119, 150
114, 142, 106, 153, 119, 150, 114, 154
106, 153, 98, 158, 114, 154, 108, 157
98, 158, 92, 160, 108, 157, 103, 158
92, 160, 87, 161, 103, 158, 98, 158
87, 161, 80, 158, 98, 158, 91, 155
80, 158, 74, 152, 91, 155, 86, 150
74, 152, 85, 152, 86, 150, 98, 149
85, 152, 90, 152, 98, 149, 103, 150
90, 152, 95, 150, 103, 150, 108, 149
95, 150, 111, 144, 108, 149, 117, 150
111, 144, 96, 150, 117, 150, 108, 151
96, 150, 91, 152, 108, 151, 103, 152
91, 152, 86, 152, 103, 152, 98, 151
86, 152, 1, 1, 98, 151, 1, 1
1, 1, 179, 1, 1, 1, 179, 1
179, 1, 89, 1, 179, 1, 89, 1
89, 1, 1, 239, 89, 1, 1, 239
1, 239, 1, 119, 1, 239, 1, 119
1, 119, 89, 239, 1, 119, 89, 239
89, 239, 179, 239, 89, 239, 179, 239
179, 239, 89, 119, 179, 239, 89, 119
