125, 55, 65, 55, 125, 20, 88, 20
66, 55, 66, 118, 88, 20, 72, 74
66, 118, 68, 150, 72, 74, 74, 98
68, 150, 69, 173, 74, 98, 120, 140
69, 173, 69, 181, 120, 140, 120, 219
69, 181, 69, 188, 120, 219, 85, 228
69, 188, 71, 196, 85, 228, 86, 233
71, 196, 172, 197, 86, 233, 164, 233
172, 197, 176, 192, 164, 233, 166, 227
176, 192, 177, 185, 166, 227, 131, 219
177, 185, 177, 173, 131, 219, 130, 140
177, 173, 179, 141, 130, 140, 175, 98
179, 141, 179, 119, 175, 98, 177, 70
179, 119, 180, 55, 177, 70, 161, 20
180, 55, 125, 55, 161, 20, 125, 20
0, 0, 0, 249, 0, 0, 0, 249
0, 249, 249, 249, 0, 249, 249, 249
249, 249, 249, 0, 249, 249, 249, 0
249, 0, 0, 0, 249, 0, 0, 0
