726, 227, 258, 228, 647, 86, 355, 86
254, 237, 258, 340, 353, 87, 299, 259
259, 345, 262, 432, 298, 262, 292, 351
263, 437, 270, 622, 292, 355, 320, 444
270, 627, 273, 678, 326, 448, 476, 556
274, 690, 274, 719, 487, 583, 487, 850
274, 723, 274, 741, 484, 855, 445, 894
274, 744, 275, 754, 437, 895, 342, 914
275, 758, 279, 780, 341, 916, 343, 927
293, 792, 687, 794, 351, 932, 657, 932
728, 231, 723, 343, 649, 87, 696, 234
723, 348, 720, 430, 698, 237, 711, 336
720, 435, 712, 623, 713, 342, 681, 438
712, 629, 710, 682, 681, 442, 526, 557
710, 691, 710, 721, 517, 584, 517, 851
709, 724, 708, 740, 520, 853, 544, 886
708, 743, 706, 759, 548, 877, 658, 916
707, 764, 698, 788, 660, 917, 660, 928
